WW_Type,Volume,COD_in,BOD_in,pH_in,Voltage,Power_Density,Coulombic_Efficiency,COD_out,BOD_out,pH_out,Reference,Category
1,4624,4821,2955,6.548017152719004,0.424,518.07,18.88,1442,795,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,9375,6101,3879,6.2297047753006165,1.045,2312.62,34.04,1310,716,7.1,Estimated Synergy (Co-digestion),Synthetic
2,6389,3411,2089,8.144259829331837,0.614,921.69,19.69,595,302,7.4,Estimated Synergy (Co-digestion),Synthetic
2,7604,4466,2549,7.651990138322555,1.099,2090.66,34.24,523,222,7.1,Estimated Synergy (Co-digestion),Synthetic
2,1173,7184,4230,8.250085236426575,1.168,1668.07,22.21,1689,867,7.1,Estimated Synergy (Co-digestion),Synthetic
2,4927,7309,3882,6.66026603061416,1.236,2673.68,20.44,1212,527,7.4,Estimated Synergy (Co-digestion),Synthetic
2,3658,3580,2388,6.150643295071366,1.086,790.79,22.88,811,469,7.0,Estimated Synergy (Co-digestion),Synthetic
1,8949,7316,4800,7.194683381874035,0.632,1314.71,19.11,3079,1876,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,2641,5075,3317,7.501431947600155,0.944,436.61,24.32,1034,576,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,2771,5962,3648,8.485464401685723,0.713,633.28,13.03,2519,1432,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,7801,3216,1865,8.349893948868143,0.495,542.98,9.28,1057,557,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,9132,3814,1957,8.661357951671096,0.783,574.88,26.42,974,441,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,3196,3609,2452,6.252382986778149,1.014,492.33,17.92,609,340,7.2,Estimated Synergy (Co-digestion),Synthetic
1,5678,7642,5089,8.844754613370238,0.48,612.06,11.81,3386,2102,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,6297,5066,2572,7.721849598207031,0.61,364.69,18.23,2096,987,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,8530,4345,2683,7.193053243299164,1.962,1700.13,25.48,223,57,7.1,Estimated Synergy (Co-digestion),Synthetic
2,2002,6013,3240,6.279588358688084,1.04,874.06,21.62,1253,578,7.1,Estimated Synergy (Co-digestion),Synthetic
0,189,6815,3670,6.151677563878617,1.142,519.38,18.41,1577,739,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,7040,6290,3754,8.081416670902236,1.015,580.6,16.58,1647,870,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,5033,6926,3963,7.225366744225448,1.314,419.9,15.25,1066,491,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,9121,3909,2157,8.65825832644055,1.311,427.58,15.54,1200,597,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,3506,2147,1362,8.473051341748048,0.972,318.48,29.23,521,289,7.3,Estimated Synergy (Co-digestion),Synthetic
0,6029,6713,4034,6.351840443401335,0.585,818.76,27.78,1214,608,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,387,7953,4667,7.339325765389646,1.441,2268.36,29.49,605,215,7.0,Estimated Synergy (Co-digestion),Synthetic
2,3278,4176,2195,6.298639538426325,1.282,1101.68,22.25,782,345,7.2,Estimated Synergy (Co-digestion),Synthetic
0,4754,6059,3975,8.374390622668557,1.03,797.25,13.43,1784,1051,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,6736,2011,1066,8.668729854991476,1.569,738.95,16.42,615,294,7.2,Estimated Synergy (Co-digestion),Synthetic
0,4973,2443,1682,6.971458724707294,1.321,465.09,19.95,210,94,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,4663,4410,2305,8.990727655768065,0.493,582.09,17.45,1684,811,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,3909,7807,3946,7.8941259781447535,0.615,852.49,12.0,2804,1299,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,7552,2526,1712,7.7306436039336255,0.706,322.8,10.72,998,625,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,4869,7247,4874,6.452062461002502,0.777,1037.39,18.16,2232,1355,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,9411,4988,3172,8.83777393209626,0.627,235.61,15.74,1763,1026,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,5681,5814,2925,8.186334163351942,0.923,1988.06,27.29,1236,534,7.1,Estimated Synergy (Co-digestion),Synthetic
0,8972,7429,5079,7.949364140292898,0.48,1075.97,26.07,1272,717,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,1368,7474,4270,6.76344399485478,0.406,991.67,31.08,421,112,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,425,3534,2154,7.139937236896184,1.228,359.44,19.46,696,360,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,7854,6078,4226,7.214175191488976,0.721,1091.7,37.76,526,239,7.1,Estimated Synergy (Co-digestion),Synthetic
0,8420,7968,4763,8.57866919075381,0.987,1501.67,17.89,2001,1053,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,3244,7798,5260,7.499876975894365,1.333,1228.1,17.56,1915,1134,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,5262,4258,2321,7.653152859884797,1.257,963.76,24.49,687,305,7.3,Estimated Synergy (Co-digestion),Synthetic
2,2899,7670,5331,7.42249288881596,0.674,1007.46,25.19,358,89,7.2,Estimated Synergy (Co-digestion),Synthetic
2,9763,4949,2724,6.923312715879447,1.409,2736.45,34.95,497,192,7.3,Estimated Synergy (Co-digestion),Synthetic
2,4462,5388,3767,8.101295397469512,1.49,1195.71,34.46,969,564,7.3,Estimated Synergy (Co-digestion),Synthetic
0,9584,2600,1733,6.90905252094609,1.733,587.98,33.23,230,101,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,7482,4476,2345,7.753629339778374,0.932,508.88,10.58,1507,719,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,3718,2797,1677,6.319011892044681,0.397,358.73,19.68,1097,607,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,606,7678,4785,7.3723291676096645,0.62,661.51,15.97,1764,956,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,1292,6425,3825,7.805420201836341,1.092,644.76,19.57,1670,879,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,1639,2912,1817,8.0945952920295,0.486,158.92,14.31,1228,711,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,2439,2755,1421,7.69755168093974,1.755,627.74,24.31,506,218,7.1,Estimated Synergy (Co-digestion),Synthetic
2,4616,7648,4624,6.957370469461388,1.22,2309.97,23.29,1017,476,7.3,Estimated Synergy (Co-digestion),Synthetic
1,792,6350,4369,6.373037524292611,0.78,705.42,10.87,2091,1308,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,8310,3124,1826,8.986913500784425,0.331,462.94,9.96,1098,587,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,1004,3269,1690,8.443160337806283,0.838,401.66,24.32,673,297,7.2,Estimated Synergy (Co-digestion),Synthetic
1,8565,4306,2316,7.377994322401628,0.823,785.5,22.19,1553,765,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,6848,3473,2310,7.894376377749062,1.551,1222.34,25.83,351,164,7.2,Estimated Synergy (Co-digestion),Synthetic
2,9946,6528,4010,6.554515193841075,0.628,2656.81,32.43,987,486,7.1,Estimated Synergy (Co-digestion),Synthetic
2,9181,5854,3659,6.037023138181122,0.684,2452.86,21.27,1182,629,7.2,Estimated Synergy (Co-digestion),Synthetic
1,688,5218,3531,6.81185998408079,0.469,426.88,9.24,2325,1467,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,3667,4056,2480,8.879373061214551,0.358,206.32,12.15,1469,824,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,9743,4313,2972,8.526496129951143,0.66,288.09,14.89,1441,903,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,7180,2419,1382,8.968516000152967,0.651,353.86,9.91,1045,555,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,1442,7560,3863,6.99343946749245,0.791,628.93,18.54,2285,1051,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,5189,4031,2786,7.798079175126497,1.278,433.46,20.58,973,589,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,9141,2366,1281,7.763091054862638,0.45,275.82,21.01,743,363,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,3886,7266,5075,6.722011544271459,1.715,2825.01,23.03,1076,599,7.2,Estimated Synergy (Co-digestion),Synthetic
2,6969,5734,2886,6.584320493061678,1.601,1356.39,31.97,959,396,7.2,Estimated Synergy (Co-digestion),Synthetic
0,3297,7296,5044,8.670414160340743,1.039,789.99,22.56,2035,1255,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,6771,6079,3974,8.982244963936726,0.331,753.07,15.13,2569,1560,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,4858,2626,1664,7.451407619581942,0.93,313.74,25.36,387,195,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,5114,3882,2383,6.630321578737055,1.373,206.52,21.08,399,174,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,9662,6744,4376,7.237209181403598,0.497,948.93,11.56,2112,1239,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,6872,3627,2248,7.541123565645915,0.564,265.62,17.35,1204,678,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,9390,3677,1915,6.385789457881658,1.111,261.62,14.42,524,215,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,1158,4749,2984,6.826609701422553,1.069,286.65,26.18,767,392,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,4918,6623,3703,6.767231104644901,1.001,1208.47,22.35,604,226,7.2,Estimated Synergy (Co-digestion),Synthetic
0,8336,4068,2381,7.846262339462506,0.46,292.95,16.49,818,407,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,578,2515,1584,8.006629593122057,1.327,431.7,13.46,695,390,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,3432,2787,1843,8.657741986492274,1.425,294.65,28.39,783,462,7.1,Estimated Synergy (Co-digestion),Synthetic
2,7633,6616,3490,6.002788250609883,1.585,906.34,20.57,1506,689,7.1,Estimated Synergy (Co-digestion),Synthetic
0,298,5201,3308,8.795093921043506,0.984,691.62,12.93,1693,977,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,4186,2734,1745,8.8969169258004,0.725,156.71,21.69,791,452,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,1705,5778,3249,7.282399584500068,0.753,662.85,13.12,1835,934,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,3489,6239,4132,8.475634113778893,1.44,1221.86,29.67,1676,986,7.3,Estimated Synergy (Co-digestion),Synthetic
2,1267,2110,1167,8.437172172558453,0.605,512.59,25.12,457,218,7.4,Estimated Synergy (Co-digestion),Synthetic
2,6791,5992,4088,6.292523077391626,1.591,1468.18,18.68,978,545,7.1,Estimated Synergy (Co-digestion),Synthetic
2,7137,5553,2847,6.531381432594762,0.556,1670.92,19.87,741,294,7.1,Estimated Synergy (Co-digestion),Synthetic
2,6422,3811,2126,8.349646363970036,1.477,1730.46,27.36,999,493,7.3,Estimated Synergy (Co-digestion),Synthetic
2,478,6482,3459,6.1609043745624925,1.396,1342.95,32.18,1385,635,7.1,Estimated Synergy (Co-digestion),Synthetic
2,5517,2689,1560,7.7334839145343075,0.962,793.75,33.47,211,75,7.4,Estimated Synergy (Co-digestion),Synthetic
2,5665,2610,1742,8.01303894159873,1.416,645.48,33.77,378,200,7.0,Estimated Synergy (Co-digestion),Synthetic
1,4913,5569,2837,8.884249858926148,0.657,595.2,11.63,2519,1198,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,8133,2983,2074,7.7478859381210965,1.626,774.1,17.61,792,488,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,9180,3105,1826,8.639743880181044,0.594,378.06,10.36,853,447,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,4535,4644,2703,8.452870134913459,1.353,871.89,23.3,1509,797,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,4325,2596,1641,8.239088652939724,0.902,967.77,21.92,675,377,7.2,Estimated Synergy (Co-digestion),Synthetic
0,6952,3449,1876,6.000681114654767,1.471,771.34,26.12,943,456,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,9924,4374,2999,7.291607462739111,0.457,625.95,14.84,1418,882,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,1228,5510,2794,8.982990908057145,0.436,262.41,10.47,2773,1322,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,2841,5020,3252,8.059541829129758,0.812,643.11,20.09,1434,831,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,9117,5779,4032,7.449696227626306,0.966,984.18,13.64,1560,967,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,2510,3820,2449,7.036738757612439,0.381,337.18,12.74,923,518,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,340,5440,2974,6.204559859296388,0.755,1231.29,22.61,1113,519,7.2,Estimated Synergy (Co-digestion),Synthetic
1,2273,5484,3550,7.611123944225923,0.875,469.84,20.35,895,473,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,1330,3133,2140,8.153798072820305,0.878,569.97,17.98,493,272,7.0,Estimated Synergy (Co-digestion),Synthetic
0,2857,3956,2113,7.429579412496712,1.356,267.79,22.52,635,276,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,685,7823,5334,8.458874608642935,1.344,467.35,16.91,2373,1458,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,8618,6703,4278,6.502699617913519,0.508,810.68,19.21,2097,1210,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,4946,4548,2639,8.37938561388917,0.47,344.22,21.6,1906,1027,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,7037,2547,1364,7.17665338030062,1.921,517.97,35.17,349,146,7.4,Estimated Synergy (Co-digestion),Synthetic
2,3891,3357,1999,8.303909934185494,1.276,999.11,25.0,682,346,7.3,Estimated Synergy (Co-digestion),Synthetic
1,6530,4641,3178,8.460972264441603,0.639,588.2,21.02,1558,972,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,6369,5168,2787,6.712449915508152,0.517,651.87,17.14,1561,758,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,383,7840,4222,7.413924823722363,1.228,1596.43,29.53,912,364,7.1,Estimated Synergy (Co-digestion),Synthetic
1,1092,4121,2658,7.0811821201623335,0.427,273.0,17.23,1575,936,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,5020,5201,3013,6.736651877833474,1.487,625.74,16.66,660,292,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,1838,3364,2049,8.653436182790276,0.617,291.15,11.07,1516,862,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,1652,4120,2793,6.344719030085731,0.344,343.0,16.04,1494,929,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,7346,2154,1277,6.680935618414563,1.384,575.73,22.54,372,182,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,5699,3716,1999,8.751661775474588,0.608,313.35,13.89,1590,795,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,8957,5426,3782,8.373852877490052,1.029,664.83,21.45,1797,1139,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,6804,7237,4593,7.351051157342378,1.385,960.64,26.48,1469,794,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,2813,6185,3830,7.454068550808922,0.617,1455.27,21.42,649,287,7.2,Estimated Synergy (Co-digestion),Synthetic
1,497,6715,3995,8.693865648555057,0.599,608.2,11.73,2649,1456,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,1580,3102,1758,7.16308546451702,0.46,346.05,21.89,621,299,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,9827,2077,1276,7.0249233380718055,0.73,178.28,22.07,846,481,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,5465,7853,4438,6.575208652170799,1.27,2573.82,22.25,836,339,7.0,Estimated Synergy (Co-digestion),Synthetic
2,8734,5140,2756,7.291039597116601,0.822,2366.39,30.36,368,115,7.1,Estimated Synergy (Co-digestion),Synthetic
0,4600,3172,2116,8.113005947871542,1.464,562.14,18.19,857,508,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,463,4166,2298,6.158480059094166,0.683,211.24,12.1,1623,826,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,9157,7204,4491,8.909456593901353,0.677,1139.24,17.66,2765,1589,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,3618,4942,2716,7.22366882552184,0.989,840.94,34.46,192,27,7.1,Estimated Synergy (Co-digestion),Synthetic
0,9165,6555,3941,8.568003224679458,1.166,1429.19,14.26,2272,1248,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,5513,3269,2198,6.947991423375682,1.737,481.7,20.33,301,136,7.0,Estimated Synergy (Co-digestion),Synthetic
2,8184,7367,3948,6.844051865561525,1.185,2510.31,34.07,644,226,7.2,Estimated Synergy (Co-digestion),Synthetic
1,2430,7705,4630,8.30624139408754,0.392,750.83,10.6,3484,1955,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,8634,6572,4231,7.642553652179983,0.931,699.89,11.3,2064,1202,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,7264,7877,4968,7.050596043069657,1.437,3939.01,24.17,869,399,7.4,Estimated Synergy (Co-digestion),Synthetic
1,3357,5235,3158,6.8538011469140425,0.643,669.08,18.64,1998,1111,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,3481,7839,4418,8.77392537338591,0.545,1811.88,30.73,1948,965,7.2,Estimated Synergy (Co-digestion),Synthetic
0,9654,3820,2078,7.54591556398313,0.506,934.04,30.86,496,207,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,5192,6377,4273,7.037576573925808,0.447,1356.39,30.89,1115,619,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,2992,7288,3835,6.929075133315568,0.853,2955.37,34.02,636,219,7.1,Estimated Synergy (Co-digestion),Synthetic
0,6254,6121,4216,8.9865329040476,0.775,512.01,17.93,1738,1070,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,7411,2989,1954,7.276516977815529,1.378,467.86,20.49,287,129,7.3,Estimated Synergy (Co-digestion),Synthetic
0,7788,4571,2653,7.9036694032245745,1.126,351.86,30.64,1190,611,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,2515,2569,1471,8.814543517574167,0.608,212.17,22.43,706,360,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,6620,2654,1719,6.1913836687607935,0.522,227.83,12.18,776,451,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,4410,5019,2749,7.886618690964527,1.153,1014.67,26.51,1012,472,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,4300,3997,2313,7.82463413029934,0.631,521.43,12.88,1640,879,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,7434,4911,2803,7.1999490548807055,0.417,662.74,22.39,1895,997,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,9210,3173,1635,6.846941502632161,0.679,325.6,22.05,1329,635,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,9218,5438,3783,7.26220968770585,1.293,3051.06,34.08,411,173,7.3,Estimated Synergy (Co-digestion),Synthetic
2,7806,7055,3943,7.426390818507361,1.613,3017.51,36.22,271,39,7.2,Estimated Synergy (Co-digestion),Synthetic
2,5688,3847,2482,8.622041013926147,0.747,626.36,17.47,793,437,7.1,Estimated Synergy (Co-digestion),Synthetic
0,3157,4084,2742,6.9147093731551905,0.663,285.99,20.73,284,108,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,6671,7236,4099,8.819773118657126,0.862,3099.31,23.69,2185,1115,7.4,Estimated Synergy (Co-digestion),Synthetic
1,1481,3467,2222,7.564652951732901,0.468,461.38,19.38,745,410,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,3229,5645,3350,7.8176904455384495,0.898,258.09,27.54,1580,837,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,545,5626,3415,7.430950177852962,0.894,1002.35,31.11,1045,532,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,4275,7943,5450,6.151522177148419,1.187,3058.68,21.94,1619,948,7.1,Estimated Synergy (Co-digestion),Synthetic
0,5824,6114,3552,8.996378807446963,0.358,837.7,12.5,2315,1238,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,4176,7555,3951,8.609043970030989,0.58,860.77,13.69,3229,1570,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,948,4556,3016,8.845108658366756,0.406,237.52,26.32,1412,844,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,8549,2574,1641,8.246095435317464,0.781,1188.92,34.0,598,332,7.4,Estimated Synergy (Co-digestion),Synthetic
0,3559,5992,4018,7.4949990848827115,1.168,517.66,24.27,791,410,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,822,2779,1463,8.555537777516664,1.244,93.79,26.51,976,470,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,518,3749,2471,7.013944651409508,1.385,263.16,29.96,596,318,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,3039,7265,4859,6.238815230977517,0.682,729.15,19.45,3219,2007,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,1889,7281,4182,6.2773485511112,1.098,1512.0,33.03,1585,785,7.4,Estimated Synergy (Co-digestion),Synthetic
2,4789,4436,2673,8.070369353046024,1.58,984.81,33.67,986,514,7.1,Estimated Synergy (Co-digestion),Synthetic
2,5011,2403,1312,6.3192352887085335,1.558,394.31,31.1,570,272,7.4,Estimated Synergy (Co-digestion),Synthetic
1,9673,7003,4221,8.33809551100536,0.629,1011.39,19.51,2606,1444,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,7519,4042,2092,8.03061682748273,0.618,1435.32,31.18,856,380,7.3,Estimated Synergy (Co-digestion),Synthetic
1,4521,5428,3213,6.6527638197949335,0.427,767.37,9.92,2274,1249,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,9584,7495,5063,6.268698072948932,1.415,1894.69,31.11,1196,656,7.0,Estimated Synergy (Co-digestion),Synthetic
0,3657,5587,3767,7.255037422481275,0.99,583.84,28.4,910,501,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,3495,2813,1881,7.079026683669204,1.349,303.36,16.06,233,99,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,2681,3390,1787,8.586634269965813,0.755,427.48,20.43,1008,477,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,8784,3548,2423,6.469086424934625,1.356,681.99,19.13,615,347,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,2986,4164,2556,7.895167254979752,1.211,520.05,22.51,670,334,7.1,Estimated Synergy (Co-digestion),Synthetic
0,6659,4579,2585,6.7743229295202445,1.02,380.11,32.61,324,105,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,4945,3093,1733,8.699229235226614,1.202,737.33,16.88,780,385,7.3,Estimated Synergy (Co-digestion),Synthetic
0,3961,7745,4691,6.103130575055175,1.149,441.02,21.04,1881,998,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,2835,7419,4889,6.4900633492294695,0.402,469.5,20.23,2673,1615,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,6056,5446,3197,6.387258585427386,1.473,1901.45,23.64,861,409,7.1,Estimated Synergy (Co-digestion),Synthetic
2,9874,2564,1350,7.160089349962385,1.741,1550.97,28.93,214,72,7.2,Estimated Synergy (Co-digestion),Synthetic
0,4832,3017,1714,8.993016789793977,0.577,248.17,25.24,1194,627,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,7818,3125,2172,6.195830272699392,1.531,1154.56,28.81,753,458,7.3,Estimated Synergy (Co-digestion),Synthetic
2,3044,6376,4146,7.76509706765297,0.834,902.99,19.78,847,426,7.3,Estimated Synergy (Co-digestion),Synthetic
0,1311,2229,1528,7.923258310746478,0.74,263.43,14.44,306,164,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,9297,7820,5082,8.098602772846572,0.535,636.13,14.01,2272,1324,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,8550,2947,1895,8.918381104969331,1.35,414.24,24.62,857,494,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,8286,6453,4309,8.631361402986863,0.465,785.2,11.06,2987,1865,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,7096,3471,2235,7.542070109629529,1.386,1339.92,29.24,375,174,7.3,Estimated Synergy (Co-digestion),Synthetic
1,4697,5875,3158,6.552745954718023,0.382,639.89,19.93,2744,1380,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,4568,4272,2598,6.852175167121287,0.898,627.36,15.27,1660,932,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,9536,5460,3705,8.068251401613974,0.889,2315.39,23.28,805,435,7.2,Estimated Synergy (Co-digestion),Synthetic
2,7085,5497,2950,6.316951036346792,1.546,1865.95,28.79,805,343,7.3,Estimated Synergy (Co-digestion),Synthetic
2,9317,4251,2697,7.491687585059987,1.86,1211.72,19.64,521,250,7.0,Estimated Synergy (Co-digestion),Synthetic
0,3649,6200,3306,8.136660615531476,0.554,500.94,21.35,1068,470,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,5677,5618,3905,6.666848299915756,0.832,2221.01,23.4,503,233,7.2,Estimated Synergy (Co-digestion),Synthetic
1,8114,3753,2108,7.34391496914657,0.623,702.02,14.1,1273,652,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,3887,4096,2781,6.310425190939754,1.35,1601.72,20.78,508,261,7.2,Estimated Synergy (Co-digestion),Synthetic
0,3172,5259,2827,6.911205138675298,0.524,383.56,16.9,702,292,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,3899,2618,1693,8.520056495762095,1.138,341.15,20.66,709,407,7.0,Estimated Synergy (Co-digestion),Synthetic
1,9849,4113,2613,8.048013457388278,0.712,444.01,9.86,1377,796,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
